Source node name,Source node type,Relationship type,Target node type,Target node name
DB00437,DRUG,TREAT,DISEASE,C0280100
DB00437,DRUG,TREAT,DISEASE,C0409908
DB00437,DRUG,TREAT,DISEASE,C0541875
DB00437,DRUG,TREAT,DISEASE,C0740394
DB00437,DRUG,TREAT,DISEASE,C0948643
DB00437,DRUG,TREAT,DISEASE,C1565489
DB00437,DRUG,TREAT,DISEASE,C2062908
DB00437,DRUG,TREAT,DISEASE,C2955673
DB00969,DRUG,TREAT,DISEASE,C0000737
DB00969,DRUG,TREAT,DISEASE,C0011991
DB00969,DRUG,TREAT,DISEASE,C0015732
DB00969,DRUG,TREAT,DISEASE,C0022104
DB00969,DRUG,TREAT,DISEASE,C0231170
DB00969,DRUG,TREAT,DISEASE,C0234215
DB00969,DRUG,TREAT,DISEASE,C1262211
DB00404,DRUG,TREAT,DISEASE,C0001807
DB00404,DRUG,TREAT,DISEASE,C0001818
DB00404,DRUG,TREAT,DISEASE,C0003467
DB00404,DRUG,TREAT,DISEASE,C0003469
DB00404,DRUG,TREAT,DISEASE,C0004936
DB00404,DRUG,TREAT,DISEASE,C0006012
DB00404,DRUG,TREAT,DISEASE,C0008031
DB00404,DRUG,TREAT,DISEASE,C0008301
DB00404,DRUG,TREAT,DISEASE,C0011551
DB00404,DRUG,TREAT,DISEASE,C0011579
DB00404,DRUG,TREAT,DISEASE,C0011991
DB00404,DRUG,TREAT,DISEASE,C0012833
DB00404,DRUG,TREAT,DISEASE,C0013404
DB00404,DRUG,TREAT,DISEASE,C0015672
DB00404,DRUG,TREAT,DISEASE,C0016382
DB00404,DRUG,TREAT,DISEASE,C0020550
DB00404,DRUG,TREAT,DISEASE,C0022107
DB00404,DRUG,TREAT,DISEASE,C0027497
DB00404,DRUG,TREAT,DISEASE,C0028643
DB00404,DRUG,TREAT,DISEASE,C0030252
DB00404,DRUG,TREAT,DISEASE,C0030319
DB00404,DRUG,TREAT,DISEASE,C0030554
DB00404,DRUG,TREAT,DISEASE,C0031572
DB00404,DRUG,TREAT,DISEASE,C0038436
DB00404,DRUG,TREAT,DISEASE,C0038661
DB00404,DRUG,TREAT,DISEASE,C0038990
DB00404,DRUG,TREAT,DISEASE,C0039070
DB00404,DRUG,TREAT,DISEASE,C0039231
DB00404,DRUG,TREAT,DISEASE,C0042023
DB00404,DRUG,TREAT,DISEASE,C0043352
DB00404,DRUG,TREAT,DISEASE,C0085593
DB00404,DRUG,TREAT,DISEASE,C0085631
DB00404,DRUG,TREAT,DISEASE,C0086132
DB00404,DRUG,TREAT,DISEASE,C0086769
DB00404,DRUG,TREAT,DISEASE,C0220870
DB00404,DRUG,TREAT,DISEASE,C0221423
DB00404,DRUG,TREAT,DISEASE,C0231170
DB00404,DRUG,TREAT,DISEASE,C0231230
DB00404,DRUG,TREAT,DISEASE,C0231530
DB00404,DRUG,TREAT,DISEASE,C0233485
DB00404,DRUG,TREAT,DISEASE,C0233494
DB00404,DRUG,TREAT,DISEASE,C0233754
DB00404,DRUG,TREAT,DISEASE,C0234215
DB00404,DRUG,TREAT,DISEASE,C0234233
DB00404,DRUG,TREAT,DISEASE,C0234238
DB00404,DRUG,TREAT,DISEASE,C0234369
DB00404,DRUG,TREAT,DISEASE,C0235198
DB00404,DRUG,TREAT,DISEASE,C0235240
DB00404,DRUG,TREAT,DISEASE,C0235295
DB00404,DRUG,TREAT,DISEASE,C0242151
DB00404,DRUG,TREAT,DISEASE,C0270549
DB00404,DRUG,TREAT,DISEASE,C0282126
DB00404,DRUG,TREAT,DISEASE,C0338908
DB00404,DRUG,TREAT,DISEASE,C0344315
DB00404,DRUG,TREAT,DISEASE,C0349231
DB00404,DRUG,TREAT,DISEASE,C0424091
DB00404,DRUG,TREAT,DISEASE,C0424295
DB00404,DRUG,TREAT,DISEASE,C0522179
DB00404,DRUG,TREAT,DISEASE,C0546947
DB00404,DRUG,TREAT,DISEASE,C0563270
DB00404,DRUG,TREAT,DISEASE,C0564500
DB00404,DRUG,TREAT,DISEASE,C0577559
DB00404,DRUG,TREAT,DISEASE,C0600142
DB00404,DRUG,TREAT,DISEASE,C0700613
DB00404,DRUG,TREAT,DISEASE,C0728899
DB00404,DRUG,TREAT,DISEASE,C0740858
DB00404,DRUG,TREAT,DISEASE,C0917801
DB00404,DRUG,TREAT,DISEASE,C1279420
DB00404,DRUG,TREAT,DISEASE,C1740801
DB00404,DRUG,TREAT,DISEASE,C2242996
DB00488,DRUG,TREAT,DISEASE,C0278689
DB00915,DRUG,TREAT,DISEASE,C0007020
DB00915,DRUG,TREAT,DISEASE,C0009450
DB00915,DRUG,TREAT,DISEASE,C0011849
DB00915,DRUG,TREAT,DISEASE,C0021400
DB00915,DRUG,TREAT,DISEASE,C0027868
DB00915,DRUG,TREAT,DISEASE,C0030567
DB00915,DRUG,TREAT,DISEASE,C0030568
DB00915,DRUG,TREAT,DISEASE,C0030569
DB00915,DRUG,TREAT,DISEASE,C0032285
DB00915,DRUG,TREAT,DISEASE,C0034072
DB00915,DRUG,TREAT,DISEASE,C0035243
DB00915,DRUG,TREAT,DISEASE,C0042769
DB00915,DRUG,TREAT,DISEASE,C0085393
DB00915,DRUG,TREAT,DISEASE,C0221423
DB00915,DRUG,TREAT,DISEASE,C0242422
DB00915,DRUG,TREAT,DISEASE,C0242656
DB00915,DRUG,TREAT,DISEASE,C0264220
DB00915,DRUG,TREAT,DISEASE,C0728899
DB00915,DRUG,TREAT,DISEASE,C0858004
DB00915,DRUG,TREAT,DISEASE,C0877854
DB00915,DRUG,TREAT,DISEASE,C1565489
DB00271,DRUG,TREAT,DISEASE,C0002940
DB00271,DRUG,TREAT,DISEASE,C0003857
DB00271,DRUG,TREAT,DISEASE,C0004114
DB00271,DRUG,TREAT,DISEASE,C0006826
DB00271,DRUG,TREAT,DISEASE,C0007785
DB00271,DRUG,TREAT,DISEASE,C0009450
DB00271,DRUG,TREAT,DISEASE,C0010276
DB00271,DRUG,TREAT,DISEASE,C0014474
DB00271,DRUG,TREAT,DISEASE,C0017636
DB00271,DRUG,TREAT,DISEASE,C0017638
DB00271,DRUG,TREAT,DISEASE,C0018944
DB00271,DRUG,TREAT,DISEASE,C0020517
DB00271,DRUG,TREAT,DISEASE,C0021308
DB00271,DRUG,TREAT,DISEASE,C0025149
DB00271,DRUG,TREAT,DISEASE,C0025286
DB00271,DRUG,TREAT,DISEASE,C0027651
DB00271,DRUG,TREAT,DISEASE,C0027858
DB00271,DRUG,TREAT,DISEASE,C0031941
DB00271,DRUG,TREAT,DISEASE,C0032000
DB00271,DRUG,TREAT,DISEASE,C0178879
DB00271,DRUG,TREAT,DISEASE,C0206660
DB00271,DRUG,TREAT,DISEASE,C0555198
DB01143,DRUG,TREAT,DISEASE,C0006826
DB01143,DRUG,TREAT,DISEASE,C0007131
DB01143,DRUG,TREAT,DISEASE,C0009450
DB01143,DRUG,TREAT,DISEASE,C0015967
